n,time
71,1000
337,2002
1488,48044
1907,78072
683,9514
730,11009
1121,27025
1401,41994
1706,61927
903,17016
982,20018
454,4004
1247,33030
1837,71204
1435,44569
401,3003
935,18016
1862,73757
1235,32211
82,0
713,11009
1054,23021
1824,72066
214,1001
717,11011
1259,33029
506,6006
10,0
512,5004
260,2002
234,2002
761,12573
1657,59054
443,4004
90,1000
1164,28556
743,12011
1148,27939
130,1001
1687,61056
588,7006
889,17016
446,4003
602,8007
1034,26024
90,0
1640,58054
1037,23020
807,14012
1093,27024
115,0
1871,75532
1951,81994
114,0
1772,73066
1311,37136
1550,51577
793,13012
