n,time
20,3016034
12,5005
19,1354365
15,54521
11,2001
13,11010
9,0
5,0
15,54049
17,273677
12,5004
16,134644
8,0
13,11009
3,0
13,10375
11,2002
20,3045267
8,0
19,1508300
16,123982
6,0
16,128009
14,26023
9,0
15,61056
18,694913
12,5005
12,5004
10,1001
4,0
18,635616
8,0
19,1407146
16,127948
3,0
8,0
7,0
8,0
13,11009
9,0
17,283213
8,0
9,1001
4,0
6,0
6,0
11,2003
7,0
13,11009
16,125942
7,0
8,0
15,56354
12,5005
3,0
20,3016675
5,0
15,57009
17,278450
16,130467
4,0
15,56500
9,986
20,3026310
15,58024
4,0
19,1358127
18,640067
15,54226
10,1002
9,0
7,0
12,4791
12,5017
19,1403730
17,274438
19,1348735
7,0
11,2026
15,54377
17,276388
5,0
11,2002
19,1346735
12,5002
14,22998
14,24002
17,273141
7,0
12,5006
10,1000
12,5004
10,1001
18,607605
12,5034
14,23308
20,3060996
12,4003
8,1001
18,636037
5,0
6,0
13,10870
7,0
7,0
14,24137
16,121998
7,0
11,3003
20,3013729
5,0
13,10949
10,1012
3,0
7,0
9,973
10,0
8,995
16,120023
20,2936306
10,1011
4,0
12,3995
19,1324130
5,0
3,0
20,2924957
19,1377490
19,1405140
5,0
3,0
13,10011
18,639162
9,0
4,0
7,0
20,2979855
14,24477
20,2922827
8,1001
19,1354152
20,2974293
15,54362
12,4999
20,3067723
14,26265
10,1001
3,0
11,2002
12,5337
7,0
19,1369796
10,1000
17,270558
8,0
8,0
19,1334956
17,277714
14,23976
13,11003
17,273970
3,0
9,1001
17,277445
3,0
17,280673
8,1001
4,0
12,5524
4,0
3,0
6,0
11,2001
5,0
10,1001
13,10010
8,1001
11,1525
3,0
18,632420
9,0
13,11010
11,3003
15,53608
16,120014
18,602041
20,2904647
4,0
7,0
17,270601
19,1331213
9,0
6,0
15,53011
6,0
12,5005
5,0
13,11392
9,0
7,0
14,23980
13,9971
6,0
18,601074
11,2003
14,24575
9,0
12,5004
15,53436
16,117652
13,9992
17,271029
11,2003
18,609065
6,1001
4,0
18,602425
13,11011
18,595685
20,2951725
6,0
18,592993
8,0
14,23013
9,1001
14,23646
19,1341499
15,53995
11,2002
5,0
5,1001
19,1333144
15,52642
19,1327152
20,2978303
10,991
9,1001
4,0
6,0
16,118369
8,995
15,53659
9,0
14,24006
20,2927098
4,0
5,0
3,0
20,3056986
12,5005
14,24957
10,1001
12,5202
12,4976
13,11625
12,4508
15,54704
8,0
8,0
15,55060
6,0
16,121824
20,3052322
5,0
19,1405678
5,0
4,0
7,1001
19,1483815
16,147007
5,0
7,0
9,1001
10,1002
20,3083308
16,122371
13,11019
6,0
13,10628
8,0
20,3015682
18,611055
9,0
20,3072960
12,5019
9,0
15,56476
7,0
14,26524
15,55989
20,3066701
3,0
17,280018
17,289584
5,0
8,0
16,128461
3,0
10,1000
10,1001
18,653717
9,994
9,0
8,0
17,278042
3,0
20,2988658
8,0
4,0
10,1000
15,55007
11,2003
19,1441781
6,0
6,0
10,1001
4,0
9,0
20,2958313
11,2001
17,278910
8,1001
6,0
20,3039830
7,0
19,1422368
11,2002
7,1001
5,0
5,0
20,3064775
18,648147
10,0
6,1001
4,0
8,0
9,0
7,0
6,0
4,0
16,130135
7,0
9,0
19,1372337
12,5006
19,1414627
5,0
15,54136
9,1000
3,0
3,0
16,123192
16,123055
12,5004
15,55308
16,121263
17,277240
15,60055
12,5004
7,0
18,642885
11,3003
16,131394
15,57075
16,128653
11,3003
18,616265
6,0
18,622567
14,25293
10,1001
9,0
15,54049
15,53383
8,0
3,0
17,296808
4,0
7,1000
5,0
17,310081
9,1001
19,1353714
7,0
3,0
9,0
19,1377260
13,11009
14,27093
10,1443
12,5006
9,0
3,0
10,1002
11,2002
12,6004
19,1394859
20,2983321
17,278397
4,0
14,25023
8,0
5,0
12,5005
8,0
7,0
4,0
6,0
13,11843
11,2002
15,56051
7,0
3,0
16,120935
5,0
9,1002
19,1411899
13,11766
3,0
12,8008
17,278369
19,1423787
5,0
3,0
19,1350790
11,2003
16,122497
6,0
13,11011
10,1507
10,1028
17,280921
17,276138
5,0
13,11010
15,54428
7,0
15,54049
7,0
4,0
7,0
6,0
4,0
13,11010
14,24305
7,0
13,11011
